,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
66,-3223.202482080229,2648.483999879848,-1670.9786008044334,1446.5600991194922,1823.081903350067,-2866.1227630173057,-2318.586023555716,2241.987184191258,910.1755207852466,708.1883710621709
67,-3468.547964917779,2686.367390395247,-1807.004793914916,1443.4104531681849,1750.6910522407563,-2834.6391320824823,-2321.29844701717,2241.0147409830865,945.7638367990627,740.5166993026097
68,-3548.365590649803,2688.3034566430815,-1789.1946339304654,1479.9477124139478,1739.197573801304,-2736.5355917196653,-2316.370249418559,2230.893485252496,910.8746673664567,696.2978441409334
69,-3060.7097765224944,2674.3934027872006,-1780.4452503279413,1437.9881565414685,1948.551699889404,-2720.166891137801,-2319.1967177843935,2211.8423593989473,919.1594079792546,649.9625369814844
70,-3035.912853452641,2722.9193587928544,-1685.2522338862163,1431.5390023450984,2076.017607730601,-2669.9335877550016,-2323.9479509754556,2191.5502652989235,897.6210698943663,590.5875458947528
71,-2688.9689031816765,2600.16374251462,-1678.4884356388454,1357.1910209696096,2290.8476600855,-2601.927225292399,-2324.036441199956,2180.6516621759947,803.4371171978479,533.7580178482967
72,-2589.843243956662,2591.077401195189,-1682.361291498006,1320.9025105570452,2349.4069328818787,-2540.0725341483303,-2317.9586160104095,2177.6179424253974,734.8381128796918,487.4056932541727
73,-2645.7459554005627,2628.0705288266126,-1644.6088123973477,1221.8558845356392,2335.5163930296226,-2487.2711647192036,-2315.8110341150987,2180.2881548945575,687.6764240967525,415.46918382648346
74,-2634.1618479473623,2725.289727697949,-1610.5244729818412,1216.7823315219587,2372.2063080529338,-2438.149349097034,-2305.488699975494,2190.6079214432057,660.882328165821,370.87359709301137
75,-2633.7910611029674,2715.6836763651854,-1567.9157848794637,1117.1285641125087,2372.5205321917006,-2477.3683732403274,-2303.9568163173208,2187.64314666187,652.8770162375704,304.37485322420844
76,-2635.6703277856373,2735.9484763228597,-1485.8400742205918,1127.0967914998107,2380.5013535833154,-2488.855154726215,-2302.9775599261066,2190.7435239530105,637.0536234127735,276.0892178372795
77,-2680.0729769696613,2684.983088906842,-1452.4472744299424,1256.3615074375484,2348.2086482791847,-2420.9622196868236,-2312.2210304568644,2189.86041322995,595.0956278092212,215.44134711846024
78,-2757.4617448338754,2709.3314863083338,-1415.1116762564757,1238.4929630609306,2275.520081413714,-2461.582573590416,-2314.9369639152605,2197.380728283337,580.7959972806854,151.62557718165777
79,-2778.2278768923325,2766.8527180810784,-1376.791071151575,1287.7238423942388,2302.4237085424124,-2494.674844541833,-2327.69482334685,2202.377166036931,520.2326110950509,110.60523465484438
80,-2746.336606640588,2757.5941190982876,-1361.1096711230443,1327.1814521203182,2302.566507709013,-2521.7236134199675,-2305.0198058819647,2204.340106216423,467.5215531995225,42.08177435007449
81,-2453.9847916232216,2785.766894237658,-1346.171645045892,1275.2073999801505,2540.3908213343225,-2571.481131870259,-2278.370076294402,2198.0822288941645,392.16125808609024,71.14801376551044
82,-2421.19273894617,2897.0455775269706,-1451.2798722207156,1326.5839284547978,2634.25665669907,-2717.118732179865,-2265.495763943681,2208.245686044175,289.0103973278209,68.57759186384015
83,-2437.822473897767,2912.5448284971026,-1536.9309323882032,1384.6206432107988,2625.9049450400116,-2718.915094040033,-2260.160379222155,2206.6985720356606,239.05686632553613,51.542676169803705
84,-2459.3746726295076,2910.6340342032286,-1493.1814413490345,1438.0041233775664,2635.4665501811523,-2714.1546369878056,-2258.534833372328,2210.8720046926023,240.5114092154512,6.924172970583428
85,-2476.218905535334,2941.977301199669,-1263.8161894400882,1476.6894154634522,2650.4091315532187,-2695.7536735409135,-2247.2280387215833,2206.6243479244044,214.53829565871223,-47.42209471758613
86,-2448.4289447854103,2896.277523282735,-1184.0007645533883,1490.1461151951373,2674.145499015391,-2707.7097990038437,-2239.3354874069237,2204.696873775518,176.67756454053347,-76.96902301460239
87,-2667.5163219723568,2913.7289865506586,-1185.8561777690923,1612.3512024855982,2554.3013600592276,-2628.216006675943,-2251.8525058001737,2199.071182846087,147.8430546991129,-69.0988050684634
88,-2822.2143529823247,2918.102495641907,-1294.773359736739,1695.6067300047614,2482.818336005155,-2578.6519162420914,-2247.6377674600185,2184.815564570299,126.63294211685387,-37.184774269393785
89,-3259.90751979535,2806.302434845165,-1363.865045204217,1678.8982195375665,2337.0436984208436,-2367.297966064244,-2265.0232159379566,2176.6419494363104,52.21772403125297,-23.257855670029702
90,-3181.6807592970276,2726.4210278885557,-1340.9968947934676,1727.5798846437808,2242.6455913980994,-2258.686824644758,-2279.6812599797863,2180.621101729349,20.65011914191601,-62.87550332189864
91,-2744.8694084970753,2875.8559841617703,-1288.5361181223504,1655.2169464559825,2406.207795096435,-2474.9329054086943,-2264.4510168991824,2197.1661265267603,-0.7867537978938827,-70.42072242688228
92,-2567.45464796212,2794.8562249997262,-1180.0453521868874,1540.536630375701,2558.228424821443,-2627.533700656513,-2239.3439910832553,2207.241127720253,-40.79694266956873,-124.82650481091122
93,-2858.577150414516,2883.6085911375667,-1163.8484268822351,1570.8395296308279,2300.3350556029686,-2165.939648152956,-2252.385001821445,2234.3435922972085,-57.526197474632696,-196.60441717312017
94,-2955.722543703951,2947.7029867791093,-1095.5848598099833,1531.680916918126,2202.139981213948,-1970.9510334570248,-2257.27694528152,2256.2313803203124,-25.64349548467305,-341.69649524213605
95,-3047.1572491352463,2958.875237334186,-1131.8736829281463,1568.1308356834734,2144.4882445492412,-1946.828599337999,-2252.86452984454,2258.224376356168,-76.13585508394398,-409.8557132137467
96,-2998.975546833567,2951.5405277459035,-1195.6750051298775,1635.152869391845,2218.0253293268506,-2097.21637710448,-2275.891221304774,2208.415668376547,-157.07361119348013,-380.0173765017946
97,-3133.4042887756123,2966.0203857359243,-1180.992743975841,1733.4017303884148,2232.027259495503,-2055.8126926925556,-2278.5457189547888,2162.564429970831,-226.17809168211974,-354.119094219275
98,-3124.4553414907746,3012.699728806021,-1133.8096665904848,1895.6668523403478,2248.6414585407915,-2059.8171220445342,-2267.2098257481343,2149.3023772151514,-372.7565724147031,-352.6214561251032
99,-3104.848279024416,3142.3809626707002,-1089.016190561176,1846.539191357591,2269.4636329235736,-2001.425390091301,-2258.756896793086,2170.1410710231203,-362.43420981177303,-391.2258808865802
100,-3125.302371628432,3251.7066224575847,-1020.4068976423216,1829.9019697447493,2240.2250372685144,-2014.9958418544531,-2253.0609156828045,2164.3032905541245,-356.56707019530074,-480.88909575107186
101,-3090.8399334017085,3444.912818619566,-979.8517217594259,1820.6697655542139,2278.49275151081,-2025.09072038004,-2252.989310409426,2162.211625547589,-430.50844120985994,-583.7531691568959
102,-2951.9333406392593,3368.8976708977107,-926.3608604334028,1802.7546056777796,2363.817307456639,-2014.0736655778326,-2249.699092713757,2163.619488714941,-471.5336501091282,-653.5210743047315
103,-2902.7318004557574,3246.776513524498,-949.8903090762159,1832.8510945739802,2374.5158459413506,-1997.3701295285657,-2249.5628075167256,2152.9765624639695,-501.3554157010114,-684.6262423215215
104,-2857.034676865054,3011.4061089838488,-993.0989018789339,1900.0172253845194,2408.4728098024575,-2031.24547897076,-2258.6122503785305,2143.799455514524,-534.8524825871882,-635.898581244596
105,-2857.115080367454,2994.166857025315,-996.299614028271,1902.8495637128171,2429.20037427155,-1986.5746434104506,-2263.7566679106303,2146.136677837264,-538.9664739849175,-620.0723062821189
106,-2849.1096472142126,2964.449046574471,-1044.8315547186514,1928.215575916895,2434.0343189688856,-1865.7352374755653,-2263.946987884464,2145.9825864633117,-555.5096200838644,-550.600066759783
107,-2806.9730159300393,2936.6056348649986,-1072.0291086724687,1906.5656417081982,2494.4784312534175,-1824.4507380519644,-2263.8626670496265,2146.1895055453824,-560.9185876194052,-517.6239690053031
108,-2788.5070808521064,2931.1910422568385,-1094.4588954574567,1825.8050219998179,2519.697511426268,-1831.703935181099,-2268.8059834911487,2195.8960869900297,-540.9206684895477,-561.1727092998965
109,-2727.7511782232127,2880.8299003303937,-1099.245845713506,1771.5262310509377,2533.316506723807,-2039.0365688126094,-2270.078636457177,2191.952854011796,-554.4987228902777,-537.5587995451225
110,-2829.205884118491,2962.2412494494706,-1109.2279882011906,1817.8422185527238,2490.2604795928523,-2049.1713091438123,-2271.498034068046,2136.0091094217564,-519.2291093524439,-518.8850115400522
111,-2982.1524746865653,3079.6383646950035,-1124.3941595094493,1868.1328773139599,2349.6861145114503,-2010.2425171831346,-2270.696243617266,2108.15065769965,-471.5817842740578,-450.2658210944389
112,-3038.394979895047,3197.4533302318323,-1071.434174863108,1811.2816740451926,2320.773787681696,-1988.1587444631707,-2267.739533421707,2126.1936407517546,-395.66385399731996,-490.59878312947535
113,-3071.937941436448,3177.804321841176,-1079.566383643668,1732.3873421727978,2326.8389855329638,-2038.70009449505,-2270.800613432646,2137.041219166131,-350.38281219791793,-490.0659720373799
114,-3030.4447333352305,3030.2478006818665,-1102.5346893572269,1809.6170649830542,2361.8343687703887,-2155.3414565097437,-2274.9067414383685,2133.44172682068,-321.02505279696214,-437.9341093267369
115,-3118.841999716387,2984.293316628952,-1119.9825206004018,1792.0619428857362,2408.717929860464,-2140.9919941260378,-2278.7780447006753,2183.765813196458,-293.48939799327957,-392.7098634264372
116,-3253.748954422669,2877.806880441464,-1116.4937095512746,1618.702649222561,2300.865028930956,-2014.502758858862,-2273.536842347595,2266.6499633833173,-208.48895485456433,-501.6422980974601
